"Step","benford - valid_arithmetic_perfect","benford - valid_arithmetic_perfect__MIN","benford - valid_arithmetic_perfect__MAX"
"493","70.94","70.94","70.94"
"494","71.72","71.72","71.72"
"495","71.27","71.27","71.27"
"496","71.91","71.91","71.91"
"497","70.62","70.62","70.62"
"498","71.29","71.29","71.29"
"499","71.67","71.67","71.67"
"500","71.82","71.82","71.82"
"501","71.37","71.37","71.37"
"502","71.92","71.92","71.92"
"503","71.09","71.09","71.09"
"504","71.63","71.63","71.63"
"505","72.36","72.36","72.36"
"506","71.44","71.44","71.44"
"507","72.35","72.35","72.35"
"508","72.43","72.43","72.43"
"509","71.64","71.64","71.64"
"510","72.48","72.48","72.48"
"511","72.09","72.09","72.09"
"512","72.35","72.35","72.35"
"513","71.86","71.86","71.86"
"514","72.81","72.81","72.81"
"515","71.77","71.77","71.77"
"516","72.25","72.25","72.25"
"517","71.77","71.77","71.77"
"518","72.53","72.53","72.53"
"519","72.88","72.88","72.88"
"520","72.44","72.44","72.44"
"521","72.37","72.37","72.37"
"522","72.25","72.25","72.25"
"523","73.64","73.64","73.64"
"524","71.22","71.22","71.22"
"525","73.19","73.19","73.19"
"526","72.72","72.72","72.72"
"527","72.32","72.32","72.32"
"528","73.3","73.3","73.3"
"529","73.16","73.16","73.16"
"530","72.99","72.99","72.99"
"531","72.34","72.34","72.34"
"532","73.25","73.25","73.25"
"533","72.5","72.5","72.5"
"534","73.81","73.81","73.81"
"535","72.43","72.43","72.43"
"536","73.4","73.4","73.4"
"537","73.06","73.06","73.06"
"538","73.18","73.18","73.18"
"539","72.52","72.52","72.52"
"540","73.17","73.17","73.17"
"541","73.38","73.38","73.38"
"542","72.81","72.81","72.81"
"543","72.76","72.76","72.76"
"544","73.82","73.82","73.82"
"545","73.06","73.06","73.06"
"546","72.9","72.9","72.9"
"547","72.87","72.87","72.87"
"548","73.89","73.89","73.89"
"549","73.8","73.8","73.8"
"550","72.19","72.19","72.19"
"551","73.73","73.73","73.73"
"552","73.19","73.19","73.19"
"553","73.41","73.41","73.41"
"554","73.24","73.24","73.24"
"555","73.68","73.68","73.68"
"556","72.76","72.76","72.76"
