"Step","benford2 - valid_arithmetic_perfect","benford2 - valid_arithmetic_perfect__MIN","benford2 - valid_arithmetic_perfect__MAX"
"1877","87.65","87.65","87.65"
"1878","87.72","87.72","87.72"
"1879","87.45","87.45","87.45"
"1880","87.84","87.84","87.84"
"1881","87.64","87.64","87.64"
"1882","87.56","87.56","87.56"
"1883","87.98","87.98","87.98"
"1884","87.23","87.23","87.23"
"1885","87.21","87.21","87.21"
"1886","87.29","87.29","87.29"
"1887","87.67","87.67","87.67"
"1888","86.77","86.77","86.77"
"1889","88.19","88.19","88.19"
"1890","87.92","87.92","87.92"
"1891","87.25","87.25","87.25"
"1892","86.7","86.7","86.7"
"1893","87.45","87.45","87.45"
"1894","87.63","87.63","87.63"
"1895","87.33","87.33","87.33"
"1896","87.78","87.78","87.78"
"1897","87.62","87.62","87.62"
"1898","87.85","87.85","87.85"
"1899","88.18","88.18","88.18"
"1900","88.03","88.03","88.03"
"1901","87.91","87.91","87.91"
"1902","87.39","87.39","87.39"
"1903","87.38","87.38","87.38"
"1904","87.38","87.38","87.38"
"1905","87.38","87.38","87.38"
"1906","87.59","87.59","87.59"
"1907","87.8","87.8","87.8"
"1908","87.8","87.8","87.8"
"1909","87.97","87.97","87.97"
"1910","87.58","87.58","87.58"
"1911","87.14","87.14","87.14"
"1912","87.42","87.42","87.42"
"1913","87.51","87.51","87.51"
"1914","87.49","87.49","87.49"
"1915","87.69","87.69","87.69"
"1916","87.18","87.18","87.18"
"1917","87.35","87.35","87.35"
"1918","87.32","87.32","87.32"
"1919","87.47","87.47","87.47"
"1920","87.47","87.47","87.47"
"1921","87.48","87.48","87.48"
"1922","88.36","88.36","88.36"
"1923","86.87","86.87","86.87"
"1924","87.99","87.99","87.99"
"1925","88.02","88.02","88.02"
"1926","87.9","87.9","87.9"
"1927","88.03","88.03","88.03"
"1928","87.34","87.34","87.34"
"1929","87.56","87.56","87.56"
"1930","87.41","87.41","87.41"
"1931","88.08","88.08","88.08"
"1932","87.89","87.89","87.89"
"1933","87.67","87.67","87.67"
"1934","87.31","87.31","87.31"
"1935","87.65","87.65","87.65"
"1936","87.76","87.76","87.76"
"1937","87.78","87.78","87.78"
"1938","87.69","87.69","87.69"
"1939","87.58","87.58","87.58"
"1940","87.45","87.45","87.45"
"1941","88.11","88.11","88.11"
"1942","87.98","87.98","87.98"
"1943","87.54","87.54","87.54"
"1944","87.51","87.51","87.51"
"1945","87.48","87.48","87.48"
"1946","87.65","87.65","87.65"
"1947","87.46","87.46","87.46"
"1948","88.01","88.01","88.01"
"1949","87.44","87.44","87.44"
"1950","87.37","87.37","87.37"
"1951","88.28","88.28","88.28"
"1952","87.49","87.49","87.49"
"1953","87.38","87.38","87.38"
"1954","87.69","87.69","87.69"
"1955","87.5","87.5","87.5"
"1956","87.83","87.83","87.83"
"1957","87.88","87.88","87.88"
"1958","87.97","87.97","87.97"
"1959","88.05","88.05","88.05"
"1960","87.96","87.96","87.96"
"1961","87.25","87.25","87.25"
"1962","87.85","87.85","87.85"
"1963","87.31","87.31","87.31"
"1964","87.6","87.6","87.6"
"1965","87.48","87.48","87.48"
"1966","87.25","87.25","87.25"
"1967","87.86","87.86","87.86"
"1968","87.67","87.67","87.67"
"1969","87.67","87.67","87.67"
"1970","88.03","88.03","88.03"
"1971","88","88","88"
"1972","87.38","87.38","87.38"
"1973","87.66","87.66","87.66"
"1974","88.42","88.42","88.42"
"1975","87.4","87.4","87.4"
"1976","87.49","87.49","87.49"
"1977","87.75","87.75","87.75"
"1978","87.39","87.39","87.39"
"1979","86.95","86.95","86.95"
"1980","87.55","87.55","87.55"
"1981","87.7","87.7","87.7"
"1982","88.21","88.21","88.21"
"1983","87.56","87.56","87.56"
"1984","87.17","87.17","87.17"
"1985","88.13","88.13","88.13"
"1986","86.72","86.72","86.72"
"1987","87.9","87.9","87.9"
"1988","87.56","87.56","87.56"
"1989","87.59","87.59","87.59"
"1990","87.98","87.98","87.98"
"1991","87.76","87.76","87.76"
"1992","88","88","88"
"1993","88.12","88.12","88.12"
"1994","87.76","87.76","87.76"
"1995","87.97","87.97","87.97"
"1996","87.51","87.51","87.51"
"1997","87.75","87.75","87.75"
"1998","88.24","88.24","88.24"
"1999","87.66","87.66","87.66"
"2000","87.76","87.76","87.76"
"2001","87.75","87.75","87.75"
"2002","87.75","87.75","87.75"
"2003","87.57","87.57","87.57"
"2004","88.42","88.42","88.42"
"2005","87.45","87.45","87.45"
"2006","88.05","88.05","88.05"
"2007","88","88","88"
"2008","87.7","87.7","87.7"
"2009","87.71","87.71","87.71"
"2010","87.8","87.8","87.8"
"2011","88.05","88.05","88.05"
"2012","88","88","88"
"2013","87.49","87.49","87.49"
"2014","88.18","88.18","88.18"
"2015","88.18","88.18","88.18"
"2016","88.34","88.34","88.34"
"2017","87.66","87.66","87.66"
"2018","88.12","88.12","88.12"
"2019","87.69","87.69","87.69"
"2020","88.05","88.05","88.05"
"2021","87.29","87.29","87.29"
"2022","87.46","87.46","87.46"
"2023","87.72","87.72","87.72"
"2024","87.71","87.71","87.71"
"2025","87.85","87.85","87.85"
"2026","87.81","87.81","87.81"
"2027","88.15","88.15","88.15"
"2028","88.37","88.37","88.37"
"2029","87.71","87.71","87.71"
"2030","87.78","87.78","87.78"
"2031","87.57","87.57","87.57"
"2032","87.95","87.95","87.95"
"2033","87.69","87.69","87.69"
"2034","87.63","87.63","87.63"
"2035","87.45","87.45","87.45"
"2036","87.95","87.95","87.95"
"2037","87.64","87.64","87.64"
"2038","87.9","87.9","87.9"
"2039","87.82","87.82","87.82"
"2040","87.85","87.85","87.85"
"2041","87.68","87.68","87.68"
"2042","87.66","87.66","87.66"
"2043","88.05","88.05","88.05"
"2044","87.88","87.88","87.88"
"2045","87.55","87.55","87.55"
"2046","88.23","88.23","88.23"
"2047","87.35","87.35","87.35"
"2048","88.12","88.12","88.12"
"2049","88","88","88"
"2050","88.35","88.35","88.35"
"2051","87.63","87.63","87.63"
"2052","87.77","87.77","87.77"
"2053","87.93","87.93","87.93"
"2054","88.12","88.12","88.12"
"2055","87.4","87.4","87.4"
"2056","87.63","87.63","87.63"
"2057","88.39","88.39","88.39"
"2058","88.34","88.34","88.34"
"2059","87.84","87.84","87.84"
"2060","87.72","87.72","87.72"
"2061","87.8","87.8","87.8"
"2062","88.03","88.03","88.03"
"2063","87.44","87.44","87.44"
"2064","87.67","87.67","87.67"
"2065","87.84","87.84","87.84"
"2066","88.41","88.41","88.41"
"2067","87.89","87.89","87.89"
"2068","87.74","87.74","87.74"
"2069","87.42","87.42","87.42"
"2070","87.27","87.27","87.27"
"2071","87.79","87.79","87.79"
"2072","88.06","88.06","88.06"
"2073","87.26","87.26","87.26"
"2074","87.97","87.97","87.97"
"2075","88.24","88.24","88.24"
"2076","87.58","87.58","87.58"
"2077","87.93","87.93","87.93"
"2078","87.83","87.83","87.83"
"2079","88.38","88.38","88.38"
"2080","87.66","87.66","87.66"
"2081","88.55","88.55","88.55"
"2082","88.3","88.3","88.3"
"2083","87.78","87.78","87.78"
"2084","87.77","87.77","87.77"
"2085","88.38","88.38","88.38"
"2086","87.99","87.99","87.99"
"2087","88.12","88.12","88.12"
"2088","88.4","88.4","88.4"
"2089","88.11","88.11","88.11"
"2090","87.98","87.98","87.98"
"2091","87.59","87.59","87.59"
"2092","87.82","87.82","87.82"
"2093","88.31","88.31","88.31"
"2094","87.9","87.9","87.9"
"2095","87.82","87.82","87.82"
"2096","87.71","87.71","87.71"
"2097","87.81","87.81","87.81"
"2098","87.02","87.02","87.02"
"2099","87.93","87.93","87.93"
"2100","88.16","88.16","88.16"
"2101","88.16","88.16","88.16"
"2102","87.71","87.71","87.71"
"2103","87.73","87.73","87.73"
"2104","87.62","87.62","87.62"
"2105","88.07","88.07","88.07"
"2106","88.6","88.6","88.6"
"2107","87.89","87.89","87.89"
"2108","87.55","87.55","87.55"
"2109","88.05","88.05","88.05"
"2110","87.87","87.87","87.87"
"2111","88.13","88.13","88.13"
"2112","88.28","88.28","88.28"
"2113","88.07","88.07","88.07"
"2114","87.93","87.93","87.93"
"2115","87.91","87.91","87.91"
"2116","88.01","88.01","88.01"
"2117","87.31","87.31","87.31"
"2118","88.24","88.24","88.24"
"2119","88.02","88.02","88.02"
"2120","88.38","88.38","88.38"
"2121","88.02","88.02","88.02"
"2122","87.82","87.82","87.82"
"2123","87.56","87.56","87.56"
"2124","88.82","88.82","88.82"
"2125","88.32","88.32","88.32"
"2126","88.29","88.29","88.29"
"2127","88.08","88.08","88.08"
"2128","87.58","87.58","87.58"
"2129","87.61","87.61","87.61"
"2130","88.28","88.28","88.28"
"2131","88","88","88"
"2132","87.91","87.91","87.91"
"2133","88.5","88.5","88.5"
"2134","87.98","87.98","87.98"
"2135","87.98","87.98","87.98"
"2136","87.62","87.62","87.62"
"2137","87.82","87.82","87.82"
"2138","87.93","87.93","87.93"
"2139","87.45","87.45","87.45"
"2140","87.98","87.98","87.98"
"2141","88.1","88.1","88.1"
"2142","87.88","87.88","87.88"
"2143","87.65","87.65","87.65"
"2144","88.2","88.2","88.2"
"2145","88.01","88.01","88.01"
"2146","88.37","88.37","88.37"
"2147","87.9","87.9","87.9"
"2148","89.06","89.06","89.06"
"2149","88.08","88.08","88.08"
"2150","88.57","88.57","88.57"
"2151","88.05","88.05","88.05"
"2152","88.07","88.07","88.07"
"2153","88.36","88.36","88.36"
"2154","87.99","87.99","87.99"
"2155","87.94","87.94","87.94"
"2156","87.72","87.72","87.72"
"2157","87.66","87.66","87.66"
"2158","87.36","87.36","87.36"
"2159","88.31","88.31","88.31"
"2160","88.03","88.03","88.03"
