"Step","benford - test_arithmetic_perfect","benford - test_arithmetic_perfect__MIN","benford - test_arithmetic_perfect__MAX"
"635","63.19","63.19","63.19"
"636","63.25","63.25","63.25"
"637","62.85","62.85","62.85"
"638","63.34","63.34","63.34"
"639","63.37","63.37","63.37"
"640","65.08","65.08","65.08"
"641","65.03","65.03","65.03"
"642","63.89","63.89","63.89"
"643","63.52","63.52","63.52"
"644","65.53","65.53","65.53"
"645","64.51","64.51","64.51"
"646","63.42","63.42","63.42"
"647","66.59","66.59","66.59"
"648","65.43","65.43","65.43"
"649","64.38","64.38","64.38"
"650","62.91","62.91","62.91"
"651","65.06","65.06","65.06"
"652","64.38","64.38","64.38"
"653","63.28","63.28","63.28"
"654","64.75","64.75","64.75"
"655","65.14","65.14","65.14"
"656","64.5","64.5","64.5"
"657","65.44","65.44","65.44"
"658","64.24","64.24","64.24"
"659","63.6","63.6","63.6"
"660","63.7","63.7","63.7"
"661","64.94","64.94","64.94"
"662","64.29","64.29","64.29"
"663","64.2","64.2","64.2"
"664","65.71","65.71","65.71"
"665","64.96","64.96","64.96"
"666","65.26","65.26","65.26"
"667","64.67","64.67","64.67"
"668","65.46","65.46","65.46"
"669","65.25","65.25","65.25"
"670","66.14","66.14","66.14"
"671","64.76","64.76","64.76"
"672","64.85","64.85","64.85"
"673","63.88","63.88","63.88"
"674","65.26","65.26","65.26"
"675","65.02","65.02","65.02"
"676","64.18","64.18","64.18"
"677","65.73","65.73","65.73"
"678","66.44","66.44","66.44"
"679","65.65","65.65","65.65"
"680","65.83","65.83","65.83"
"681","65.13","65.13","65.13"
"682","65.07","65.07","65.07"
"683","66.32","66.32","66.32"
"684","65.17","65.17","65.17"
"685","63.96","63.96","63.96"
"686","66.44","66.44","66.44"
"687","66.28","66.28","66.28"
"688","65.22","65.22","65.22"
"689","66.53","66.53","66.53"
"690","65.21","65.21","65.21"
"691","66.6","66.6","66.6"
"692","64.09","64.09","64.09"
"693","63.7","63.7","63.7"
"694","65.17","65.17","65.17"
"695","65.73","65.73","65.73"
"696","66.63","66.63","66.63"
"697","65.95","65.95","65.95"
"698","65.76","65.76","65.76"
"699","64.05","64.05","64.05"
"700","64.81","64.81","64.81"
"701","66.03","66.03","66.03"
"702","64.19","64.19","64.19"
"703","64.75","64.75","64.75"
"704","65.39","65.39","65.39"
