"Step","benford2 - test_arithmetic_perfect","benford2 - test_arithmetic_perfect__MIN","benford2 - test_arithmetic_perfect__MAX"
"1993","78.92","78.92","78.92"
"1994","78.34","78.34","78.34"
"1995","78.51","78.51","78.51"
"1996","79.31","79.31","79.31"
"1997","78.41","78.41","78.41"
"1998","79.04","79.04","79.04"
"1999","79.1","79.1","79.1"
"2000","79.1","79.1","79.1"
"2001","79.71","79.71","79.71"
"2002","78.67","78.67","78.67"
"2003","78.55","78.55","78.55"
"2004","79.2","79.2","79.2"
"2005","78.6","78.6","78.6"
"2006","79.22","79.22","79.22"
"2007","78.93","78.93","78.93"
"2008","78.73","78.73","78.73"
"2009","78.15","78.15","78.15"
"2010","78.72","78.72","78.72"
"2011","78.95","78.95","78.95"
"2012","78.83","78.83","78.83"
"2013","78.25","78.25","78.25"
"2014","79.68","79.68","79.68"
"2015","78.95","78.95","78.95"
"2016","79.32","79.32","79.32"
"2017","78.4","78.4","78.4"
"2018","78.69","78.69","78.69"
"2019","79.41","79.41","79.41"
"2020","77.66","77.66","77.66"
"2021","78.43","78.43","78.43"
"2022","78.63","78.63","78.63"
"2023","78.86","78.86","78.86"
"2024","78.85","78.85","78.85"
"2025","79.9","79.9","79.9"
"2026","78.53","78.53","78.53"
"2027","78.45","78.45","78.45"
"2028","78.62","78.62","78.62"
"2029","78.74","78.74","78.74"
"2030","79.26","79.26","79.26"
"2031","79.04","79.04","79.04"
"2032","79.34","79.34","79.34"
"2033","78.63","78.63","78.63"
"2034","79.53","79.53","79.53"
"2035","79.23","79.23","79.23"
"2036","79.49","79.49","79.49"
"2037","79.13","79.13","79.13"
"2038","79.31","79.31","79.31"
"2039","79.02","79.02","79.02"
"2040","78.27","78.27","78.27"
"2041","77.95","77.95","77.95"
"2042","79.73","79.73","79.73"
"2043","78.95","78.95","78.95"
"2044","78.66","78.66","78.66"
"2045","79.11","79.11","79.11"
"2046","78.9","78.9","78.9"
"2047","78.15","78.15","78.15"
"2048","78.71","78.71","78.71"
"2049","79.13","79.13","79.13"
"2050","78.51","78.51","78.51"
"2051","78.91","78.91","78.91"
"2052","79.32","79.32","79.32"
"2053","78.46","78.46","78.46"
"2054","78.65","78.65","78.65"
"2055","79.02","79.02","79.02"
"2056","79.74","79.74","79.74"
"2057","78.82","78.82","78.82"
