"Step","base999 - test_arithmetic_perfect","base999 - test_arithmetic_perfect__MIN","base999 - test_arithmetic_perfect__MAX"
"531","61.96","61.96","61.96"
"532","60.88","60.88","60.88"
"533","61.77","61.77","61.77"
"534","61.43","61.43","61.43"
"535","61.96","61.96","61.96"
"536","61.21","61.21","61.21"
"537","60.53","60.53","60.53"
"538","61.66","61.66","61.66"
"539","60.9","60.9","60.9"
"540","61.19","61.19","61.19"
"541","61.48","61.48","61.48"
"542","61.61","61.61","61.61"
"543","60.37","60.37","60.37"
"544","62.11","62.11","62.11"
"545","61.68","61.68","61.68"
"546","61.48","61.48","61.48"
"547","62.16","62.16","62.16"
"548","61.61","61.61","61.61"
"549","60.6","60.6","60.6"
"550","61.69","61.69","61.69"
"551","61.08","61.08","61.08"
"552","60.67","60.67","60.67"
"553","62.01","62.01","62.01"
"554","62.05","62.05","62.05"
"555","61.77","61.77","61.77"
"556","61.58","61.58","61.58"
"557","61.47","61.47","61.47"
"558","61.41","61.41","61.41"
"559","61.72","61.72","61.72"
"560","62.03","62.03","62.03"
"561","61.78","61.78","61.78"
"562","61.19","61.19","61.19"
"563","61.72","61.72","61.72"
"564","61.77","61.77","61.77"
"565","61.56","61.56","61.56"
"566","60.64","60.64","60.64"
"567","61.38","61.38","61.38"
"568","61.69","61.69","61.69"
"569","61.49","61.49","61.49"
"570","61.95","61.95","61.95"
"571","62.06","62.06","62.06"
"572","60.75","60.75","60.75"
"573","61.96","61.96","61.96"
"574","60.89","60.89","60.89"
"575","61.69","61.69","61.69"
"576","61.77","61.77","61.77"
"577","61.19","61.19","61.19"
"578","61.66","61.66","61.66"
"579","61.42","61.42","61.42"
"580","61.83","61.83","61.83"
"581","61.28","61.28","61.28"
"582","61.29","61.29","61.29"
"583","62.74","62.74","62.74"
"584","61.93","61.93","61.93"
"585","61.22","61.22","61.22"
"586","62.03","62.03","62.03"
"587","61.41","61.41","61.41"
"588","61.31","61.31","61.31"
"589","61","61","61"
"590","61.47","61.47","61.47"
"591","61.2","61.2","61.2"
"592","61.79","61.79","61.79"
"593","61.4","61.4","61.4"
"594","61.1","61.1","61.1"
"595","60.81","60.81","60.81"
"596","62.2","62.2","62.2"
"597","61.47","61.47","61.47"
"598","61.96","61.96","61.96"
"599","60.77","60.77","60.77"
"600","62.27","62.27","62.27"
"601","62.58","62.58","62.58"
"602","62.58","62.58","62.58"
"603","62.16","62.16","62.16"
"604","62.46","62.46","62.46"
"605","60.89","60.89","60.89"
"606","61.57","61.57","61.57"
"607","61.78","61.78","61.78"
"608","61.69","61.69","61.69"
"609","61.68","61.68","61.68"
"610","61.5","61.5","61.5"
"611","61.2","61.2","61.2"
"612","61.56","61.56","61.56"
"613","61.18","61.18","61.18"
"614","60.81","60.81","60.81"
"615","61.58","61.58","61.58"
"616","61.1","61.1","61.1"
"617","61.34","61.34","61.34"
"618","61.71","61.71","61.71"
"619","61.32","61.32","61.32"
"620","60.69","60.69","60.69"
"621","61.11","61.11","61.11"
"622","61.58","61.58","61.58"
"623","61.4","61.4","61.4"
"624","61.61","61.61","61.61"
"625","62.55","62.55","62.55"
"626","62.37","62.37","62.37"
"627","61.68","61.68","61.68"
"628","61.4","61.4","61.4"
"629","61.62","61.62","61.62"
"630","61.95","61.95","61.95"
"631","62.17","62.17","62.17"
"632","62.17","62.17","62.17"
"633","61.2","61.2","61.2"
"634","61.46","61.46","61.46"
"635","61.28","61.28","61.28"
"636","61.76","61.76","61.76"
"637","62.46","62.46","62.46"
"638","61.79","61.79","61.79"
"639","61.26","61.26","61.26"
"640","61.32","61.32","61.32"
"641","62.05","62.05","62.05"
"642","61.37","61.37","61.37"
"643","62.17","62.17","62.17"
"644","62.06","62.06","62.06"
"645","61.6","61.6","61.6"
"646","61.76","61.76","61.76"
"647","61.75","61.75","61.75"
"648","61.3","61.3","61.3"
"649","62.25","62.25","62.25"
"650","60.96","60.96","60.96"
"651","61.61","61.61","61.61"
"652","61.32","61.32","61.32"
"653","61.47","61.47","61.47"
"654","62.07","62.07","62.07"
"655","61.39","61.39","61.39"
"656","62.05","62.05","62.05"
"657","62.08","62.08","62.08"
"658","61.25","61.25","61.25"
"659","61.73","61.73","61.73"
"660","61.63","61.63","61.63"
"661","62.53","62.53","62.53"
"662","61.37","61.37","61.37"
"663","61.42","61.42","61.42"
"664","61.8","61.8","61.8"
"665","61.71","61.71","61.71"
"666","61.9","61.9","61.9"
"667","61.78","61.78","61.78"
"668","61.39","61.39","61.39"
"669","62.17","62.17","62.17"
"670","62.14","62.14","62.14"
"671","61.67","61.67","61.67"
"672","61.85","61.85","61.85"
"673","61.77","61.77","61.77"
"674","61.33","61.33","61.33"
"675","61.4","61.4","61.4"
"676","61.48","61.48","61.48"
"677","61.73","61.73","61.73"
"678","61.93","61.93","61.93"
"679","61.69","61.69","61.69"
"680","61.59","61.59","61.59"
"681","61.6","61.6","61.6"
"682","61.66","61.66","61.66"
"683","61.99","61.99","61.99"
"684","62","62","62"
"685","61.59","61.59","61.59"
"686","62.43","62.43","62.43"
"687","61.77","61.77","61.77"
"688","61.62","61.62","61.62"
"689","61.38","61.38","61.38"
"690","60.85","60.85","60.85"
"691","61.39","61.39","61.39"
"692","61.02","61.02","61.02"
"693","61.6","61.6","61.6"
"694","62.54","62.54","62.54"
"695","61.28","61.28","61.28"
"696","61.78","61.78","61.78"
"697","62.1","62.1","62.1"
"698","62.08","62.08","62.08"
"699","62.09","62.09","62.09"
"700","61.59","61.59","61.59"
"701","62.74","62.74","62.74"
"702","62.06","62.06","62.06"
"703","61.87","61.87","61.87"
"704","61.7","61.7","61.7"
"705","61.41","61.41","61.41"
"706","62.56","62.56","62.56"
"707","62.08","62.08","62.08"
"708","60.79","60.79","60.79"
"709","61.95","61.95","61.95"
"710","62.17","62.17","62.17"
"711","61.38","61.38","61.38"
"712","60.71","60.71","60.71"
"713","62.37","62.37","62.37"
"714","62.38","62.38","62.38"
"715","61.95","61.95","61.95"
"716","61.29","61.29","61.29"
"717","61.78","61.78","61.78"
"718","61.69","61.69","61.69"
"719","61.28","61.28","61.28"
"720","61.3","61.3","61.3"
"721","62.14","62.14","62.14"
"722","61.58","61.58","61.58"
"723","61.28","61.28","61.28"
"724","62.08","62.08","62.08"
"725","61.27","61.27","61.27"
"726","62.17","62.17","62.17"
"727","61.56","61.56","61.56"
"728","61.47","61.47","61.47"
"729","62.55","62.55","62.55"
"730","61.48","61.48","61.48"
"731","61.77","61.77","61.77"
"732","61.81","61.81","61.81"
"733","61.73","61.73","61.73"
"734","62.25","62.25","62.25"
"735","61.38","61.38","61.38"
"736","61.85","61.85","61.85"
"737","61.21","61.21","61.21"
"738","61.29","61.29","61.29"
"739","61.87","61.87","61.87"
"740","62.28","62.28","62.28"
"741","61.94","61.94","61.94"
"742","61.7","61.7","61.7"
"743","61.68","61.68","61.68"
"744","60.82","60.82","60.82"
"745","61.86","61.86","61.86"
"746","61.67","61.67","61.67"
"747","61.67","61.67","61.67"
"748","61.69","61.69","61.69"
"749","61.47","61.47","61.47"
"750","62.07","62.07","62.07"
"751","61.26","61.26","61.26"
"752","61.91","61.91","61.91"
"753","61.52","61.52","61.52"
"754","62.33","62.33","62.33"
"755","61.66","61.66","61.66"
"756","61.66","61.66","61.66"
"757","61.95","61.95","61.95"
"758","61.51","61.51","61.51"
"759","61.87","61.87","61.87"
"760","61.47","61.47","61.47"
"761","61.32","61.32","61.32"
"762","61.82","61.82","61.82"
"763","61.75","61.75","61.75"
"764","62.16","62.16","62.16"
"765","61","61","61"
"766","61.3","61.3","61.3"
"767","61.99","61.99","61.99"
"768","61.56","61.56","61.56"
"769","62.01","62.01","62.01"
"770","61.29","61.29","61.29"
"771","62.38","62.38","62.38"
"772","61.46","61.46","61.46"
"773","61.77","61.77","61.77"
"774","62.04","62.04","62.04"
"775","61.72","61.72","61.72"
"776","62.54","62.54","62.54"
"777","61.98","61.98","61.98"
"778","61.73","61.73","61.73"
"779","61.11","61.11","61.11"
