"Step","base1013 - valid_arithmetic_perfect","base1013 - valid_arithmetic_perfect__MIN","base1013 - valid_arithmetic_perfect__MAX"
"685","54.6","54.6","54.6"
"686","55.2","55.2","55.2"
"687","55.27","55.27","55.27"
"688","54.68","54.68","54.68"
"689","54.15","54.15","54.15"
"690","54.77","54.77","54.77"
"691","54.9","54.9","54.9"
"692","55.35","55.35","55.35"
"693","54.91","54.91","54.91"
"694","54.24","54.24","54.24"
"695","54.78","54.78","54.78"
"696","54.83","54.83","54.83"
"697","55.34","55.34","55.34"
"698","55.23","55.23","55.23"
"699","55.43","55.43","55.43"
"700","54.53","54.53","54.53"
"701","54.78","54.78","54.78"
"702","55.72","55.72","55.72"
"703","55.55","55.55","55.55"
"704","55.8","55.8","55.8"
"705","54.87","54.87","54.87"
"706","55.3","55.3","55.3"
"707","54.29","54.29","54.29"
"708","53.83","53.83","53.83"
"709","54.97","54.97","54.97"
"710","55.12","55.12","55.12"
"711","54.48","54.48","54.48"
"712","55.05","55.05","55.05"
"713","54.21","54.21","54.21"
"714","54.45","54.45","54.45"
"715","54.82","54.82","54.82"
"716","54.84","54.84","54.84"
"717","55.73","55.73","55.73"
"718","55.32","55.32","55.32"
"719","54.26","54.26","54.26"
"720","55.37","55.37","55.37"
"721","55.45","55.45","55.45"
"722","55.39","55.39","55.39"
"723","54.09","54.09","54.09"
"724","55.26","55.26","55.26"
"725","53.89","53.89","53.89"
"726","55.1","55.1","55.1"
"727","54.5","54.5","54.5"
"728","55.74","55.74","55.74"
"729","54.13","54.13","54.13"
"730","54.25","54.25","54.25"
"731","55.41","55.41","55.41"
"732","54.48","54.48","54.48"
"733","54.95","54.95","54.95"
"734","55.01","55.01","55.01"
"735","55.15","55.15","55.15"
"736","55.29","55.29","55.29"
"737","55.81","55.81","55.81"
"738","54.28","54.28","54.28"
"739","55.19","55.19","55.19"
"740","54.95","54.95","54.95"
"741","54.48","54.48","54.48"
"742","54.81","54.81","54.81"
"743","54.67","54.67","54.67"
"744","54.51","54.51","54.51"
"745","54.46","54.46","54.46"
"746","55.1","55.1","55.1"
"747","55.52","55.52","55.52"
"748","55.05","55.05","55.05"
"749","54.6","54.6","54.6"
"750","54.55","54.55","54.55"
"751","54.93","54.93","54.93"
"752","55.22","55.22","55.22"
"753","55.26","55.26","55.26"
"754","55.31","55.31","55.31"
"755","55.17","55.17","55.17"
"756","54.94","54.94","54.94"
"757","55.53","55.53","55.53"
