"Step","base999 - valid_arithmetic_perfect","base999 - valid_arithmetic_perfect__MIN","base999 - valid_arithmetic_perfect__MAX"
"663","66.92","66.92","66.92"
"664","66.67","66.67","66.67"
"665","66.65","66.65","66.65"
"666","68.12","68.12","68.12"
"667","67.57","67.57","67.57"
"668","67.44","67.44","67.44"
"669","66.77","66.77","66.77"
"670","67.53","67.53","67.53"
"671","67.04","67.04","67.04"
"672","67.76","67.76","67.76"
"673","67.27","67.27","67.27"
"674","66.88","66.88","66.88"
"675","67.73","67.73","67.73"
"676","66.72","66.72","66.72"
"677","67.69","67.69","67.69"
"678","67.35","67.35","67.35"
"679","67.29","67.29","67.29"
"680","67.5","67.5","67.5"
"681","66.56","66.56","66.56"
"682","67.8","67.8","67.8"
"683","66.66","66.66","66.66"
"684","67.2","67.2","67.2"
"685","67.27","67.27","67.27"
"686","67.87","67.87","67.87"
"687","66.98","66.98","66.98"
"688","67.69","67.69","67.69"
"689","66.87","66.87","66.87"
"690","67.62","67.62","67.62"
"691","67.59","67.59","67.59"
"692","67.1","67.1","67.1"
"693","66.95","66.95","66.95"
"694","66.82","66.82","66.82"
"695","67.32","67.32","67.32"
"696","67.2","67.2","67.2"
"697","66.65","66.65","66.65"
"698","67.33","67.33","67.33"
"699","67.36","67.36","67.36"
"700","66.87","66.87","66.87"
"701","67.96","67.96","67.96"
"702","67.61","67.61","67.61"
"703","67.52","67.52","67.52"
"704","67.01","67.01","67.01"
"705","66.74","66.74","66.74"
"706","67.49","67.49","67.49"
"707","67.62","67.62","67.62"
"708","67.64","67.64","67.64"
"709","66.97","66.97","66.97"
"710","67.06","67.06","67.06"
"711","68.01","68.01","68.01"
"712","67.49","67.49","67.49"
"713","67.02","67.02","67.02"
"714","67.68","67.68","67.68"
"715","67.73","67.73","67.73"
"716","67.03","67.03","67.03"
"717","67.45","67.45","67.45"
"718","66.39","66.39","66.39"
"719","67.66","67.66","67.66"
"720","67.27","67.27","67.27"
"721","67.72","67.72","67.72"
"722","67.77","67.77","67.77"
"723","66.55","66.55","66.55"
"724","66.56","66.56","66.56"
"725","68.25","68.25","68.25"
"726","68.39","68.39","68.39"
"727","67.69","67.69","67.69"
"728","67.26","67.26","67.26"
"729","68.11","68.11","68.11"
"730","66.98","66.98","66.98"
"731","67.05","67.05","67.05"
"732","67.39","67.39","67.39"
"733","66.97","66.97","66.97"
"734","67.76","67.76","67.76"
"735","67.49","67.49","67.49"
"736","66.92","66.92","66.92"
"737","68.24","68.24","68.24"
"738","66.81","66.81","66.81"
"739","67.15","67.15","67.15"
"740","67.17","67.17","67.17"
"741","67.79","67.79","67.79"
"742","66.91","66.91","66.91"
"743","67.21","67.21","67.21"
"744","67.48","67.48","67.48"
"745","67.37","67.37","67.37"
"746","66.22","66.22","66.22"
"747","67.35","67.35","67.35"
"748","67.55","67.55","67.55"
"749","67.29","67.29","67.29"
"750","67.16","67.16","67.16"
"751","67.33","67.33","67.33"
"752","65.94","65.94","65.94"
"753","67.77","67.77","67.77"
"754","66.88","66.88","66.88"
"755","68.42","68.42","68.42"
"756","67.22","67.22","67.22"
"757","67.71","67.71","67.71"
"758","67.58","67.58","67.58"
"759","67.05","67.05","67.05"
"760","67.45","67.45","67.45"
"761","67.03","67.03","67.03"
"762","67.36","67.36","67.36"
"763","67.5","67.5","67.5"
"764","66.76","66.76","66.76"
"765","67.25","67.25","67.25"
"766","67.41","67.41","67.41"
"767","66.33","66.33","66.33"
"768","67.08","67.08","67.08"
"769","66.72","66.72","66.72"
"770","67.25","67.25","67.25"
"771","68.46","68.46","68.46"
"772","67.38","67.38","67.38"
"773","67.1","67.1","67.1"
"774","67.78","67.78","67.78"
"775","66.9","66.9","66.9"
"776","67.09","67.09","67.09"
"777","67.94","67.94","67.94"
"778","68.37","68.37","68.37"
"779","67.7","67.7","67.7"
"780","67.05","67.05","67.05"
"781","68.31","68.31","68.31"
"782","67.86","67.86","67.86"
"783","67.45","67.45","67.45"
"784","67.58","67.58","67.58"
"785","66.99","66.99","66.99"
"786","66.85","66.85","66.85"
"787","67.06","67.06","67.06"
"788","67.46","67.46","67.46"
"789","67.23","67.23","67.23"
"790","66.92","66.92","66.92"
"791","66.79","66.79","66.79"
"792","67.28","67.28","67.28"
"793","68.03","68.03","68.03"
"794","66.52","66.52","66.52"
"795","67.55","67.55","67.55"
"796","67.19","67.19","67.19"
"797","67.77","67.77","67.77"
"798","67.26","67.26","67.26"
"799","68.66","68.66","68.66"
"800","66.45","66.45","66.45"
"801","67.23","67.23","67.23"
"802","67.38","67.38","67.38"
"803","67.3","67.3","67.3"
"804","67.3","67.3","67.3"
"805","67.2","67.2","67.2"
"806","67.66","67.66","67.66"
"807","67.34","67.34","67.34"
"808","66.65","66.65","66.65"
"809","67.63","67.63","67.63"
"810","67.15","67.15","67.15"
"811","67.53","67.53","67.53"
"812","67.4","67.4","67.4"
"813","67.34","67.34","67.34"
"814","66.99","66.99","66.99"
"815","67.76","67.76","67.76"
"816","67.5","67.5","67.5"
"817","67.83","67.83","67.83"
"818","67.93","67.93","67.93"
"819","67.71","67.71","67.71"
"820","66.31","66.31","66.31"
"821","67.52","67.52","67.52"
"822","67.8","67.8","67.8"
"823","67.53","67.53","67.53"
"824","68.26","68.26","68.26"
"825","67.81","67.81","67.81"
"826","66.91","66.91","66.91"
"827","67.61","67.61","67.61"
"828","68.09","68.09","68.09"
"829","67.29","67.29","67.29"
"830","67.26","67.26","67.26"
"831","67.36","67.36","67.36"
"832","66.84","66.84","66.84"
"833","67.73","67.73","67.73"
"834","66.47","66.47","66.47"
"835","67.82","67.82","67.82"
"836","67.77","67.77","67.77"
"837","67.93","67.93","67.93"
"838","67.34","67.34","67.34"
"839","67.61","67.61","67.61"
"840","67.21","67.21","67.21"
"841","67.69","67.69","67.69"
"842","67.31","67.31","67.31"
"843","67.52","67.52","67.52"
"844","66.81","66.81","66.81"
"845","66.98","66.98","66.98"
"846","67.19","67.19","67.19"
"847","67.1","67.1","67.1"
"848","67.35","67.35","67.35"
"849","67.43","67.43","67.43"
"850","67.86","67.86","67.86"
"851","67.16","67.16","67.16"
"852","67.56","67.56","67.56"
"853","66.99","66.99","66.99"
"854","66.79","66.79","66.79"
"855","67.85","67.85","67.85"
"856","67.13","67.13","67.13"
"857","67.59","67.59","67.59"
"858","67.31","67.31","67.31"
"859","66.79","66.79","66.79"
"860","67.77","67.77","67.77"
